measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,1990,0.10955488912897571,0.1196152693065012,0.0992020487945825
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,1991,0.10909236830437288,0.1191877509877896,0.09910721822109933
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,1992,0.10879563938513798,0.1190133463323986,0.09895009143887998
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,1993,0.10857126036517967,0.11847122874150649,0.09905825208935719
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,1994,0.10847529832458866,0.11878026940137935,0.09931540088560514
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,1995,0.10848182388231548,0.11906865104898139,0.09903656861782996
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,1996,0.10854843226056052,0.11892700192358889,0.098894701171637
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,1997,0.10877797798747671,0.1192143954532324,0.09911576981863451
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,1998,0.10918443068857397,0.11970857900173441,0.09958950569269918
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,1999,0.10960343441341132,0.12049319215356766,0.09993494479695589
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2000,0.1099481318373774,0.12051829476765626,0.10012110222682727
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2001,0.1102213852223744,0.1212349858738666,0.10061465380217804
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2002,0.11039096243470632,0.12117741430304454,0.10054363618604643
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2003,0.11055099024496626,0.12170939722838629,0.10043248235020066
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2004,0.11082305860615918,0.12221254861831429,0.10075282520746973
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2005,0.1112579963328206,0.12280441726787841,0.10110624290126873
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2006,0.1117743672397686,0.12292806802739849,0.10169121771528765
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2007,0.11215082469258525,0.1234620992525503,0.1020438449992834
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2008,0.1123956387694831,0.12395941923380238,0.1022435910690826
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2009,0.112712552942315,0.12431390698648158,0.10267370514131717
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2010,0.11310907090859766,0.12471844000536363,0.10275899378624198
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2011,0.11348315845213269,0.12495535719912404,0.10327604530876487
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2012,0.11378631025768583,0.125386535096373,0.10349966548541555
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2013,0.11404966434050735,0.12567927004174848,0.10385344472259504
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2014,0.11428439492675525,0.12555402402659965,0.10408306735479415
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2015,0.11433906469781514,0.1259169059852353,0.1039888178821425
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2016,0.11406859566764657,0.12585874198822267,0.1035705791799811
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2017,0.11382219401529702,0.12535544566819423,0.10340944978359591
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2018,0.11415527908907927,0.12583921092733935,0.10367340769052741
5,Prevalence,8,Taiwan (Province of China),3,Both,22,All ages,558,Mental disorders,2,Percent,2019,0.11478245688351435,0.126511264909926,0.10377751338995504
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,1990,0.10700265247802299,0.11986794365872633,0.09620157016750185
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,1991,0.10760345363350293,0.12023028295750164,0.0965683509429667
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,1992,0.1082269050148341,0.12093709594048675,0.09739587642184577
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,1993,0.10892010324315345,0.12146978675510713,0.0980811945896148
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,1994,0.10961422094499337,0.12215121462258362,0.09863241375248144
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,1995,0.11024726196445753,0.12282415742602064,0.09896714021291796
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,1996,0.11096589049941565,0.12368199966699953,0.09982793082517812
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,1997,0.11166614384665648,0.12439242065386803,0.10047454367780749
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,1998,0.11230796026654352,0.12546221836451085,0.10087789205442584
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,1999,0.11287039330389269,0.12614155108625752,0.10154955411182723
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2000,0.11335702838589723,0.12672629953764278,0.1017317072059771
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2001,0.1136411971598342,0.12715301829165582,0.10222460552993025
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2002,0.113848303289362,0.12742569993911101,0.10239123798028399
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2003,0.11395071234633937,0.12715819797852956,0.10260897870869262
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2004,0.11399446339742297,0.1267605072525173,0.10264058645107597
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2005,0.11407349704278255,0.12671322363859408,0.10267709065440572
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2006,0.1141617597470425,0.12686560655616455,0.10312448810358822
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2007,0.1142667944421444,0.12689279914512383,0.10327664697021852
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2008,0.11442592116238118,0.1274121481023035,0.10330685993466393
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2009,0.1146120642911611,0.1271989559861657,0.10350228114568404
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2010,0.114798775643613,0.12734887346857712,0.10342312571159605
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2011,0.11504633344162245,0.12816905901892509,0.10381400466655938
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2012,0.11531116838735374,0.1278526634012385,0.10426344222122927
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2013,0.11557040443075424,0.12837559920371244,0.10463518950034939
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2014,0.11584333922216909,0.12837602292945796,0.10518399078078802
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2015,0.11613904553823554,0.1286169254399698,0.10518660783831096
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2016,0.11638705534327692,0.12892190653839308,0.10548947046351786
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2017,0.11664473330170103,0.12927286022149342,0.1056886901091369
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2018,0.11706745589275229,0.12936427545354284,0.10625387916184437
5,Prevalence,24,Marshall Islands,3,Both,22,All ages,558,Mental disorders,2,Percent,2019,0.11759044977315429,0.1302441423025864,0.10654487967462138
5,Prevalence,12,Lao People's Democratic Republic,3,Both,22,All ages,558,Mental disorders,2,Percent,1990,0.11856569184761963,0.13193285141672426,0.10565411987441176
5,Prevalence,12,Lao People's Democratic Republic,3,Both,22,All ages,558,Mental disorders,2,Percent,1991,0.11850146878063657,0.1316688968242434,0.10574743095958258
5,Prevalence,12,Lao People's Democratic Republic,3,Both,22,All ages,558,Mental disorders,2,Percent,1992,0.11840204748517126,0.13166627943109208,0.10612032398626726
5,Prevalence,12,Lao People's Democratic Republic,3,Both,22,All ages,558,Mental disorders,2,Percent,1993,0.11827501685313825,0.13162826990644513,0.10585075536138641
5,Prevalence,12,Lao People's Democratic Republic,3,Both,22,All ages,558,Mental disorders,2,Percent,1994,0.11813616046976144,0.13137047715867697,0.10584374489026581
